bodyId,out_degree,in_degree,out_strength,in_strength,total_degree,total_strength,type,instance
425790257,2675,2722,107510,119750,5397,227260,APL,APL_R
5813105172,2473,2311,48096,73324,4784,121420,DPM,DPM_R
5813039148,977,975,23348,26517,1952,49865,PVLP011,PVLP011_R
423101189,2320,1832,24858,18782,4152,43640,oviIN,oviIN_R
612371421,576,1373,8843,31190,1949,40033,MBON01,MBON01(y5B'2a)_R
799586652,903,980,5971,25688,1883,31659,MBON05,MBON05(y4>y1y2)(AVM07)_L
424767514,784,1826,5167,26228,2610,31395,MBON11,MBON11(y1pedc>a/B)_R
5813050499,776,761,11990,17995,1537,29985,AVLP082,AVLP082_R
329566174,5136,2491,21073,8225,7627,29298,OA-VPM3,OA-VPM3(NO2/NO3)_R
947573616,1348,1528,10886,17824,2876,28710,AVLP016,AVLP016_R
5813027276,1639,1383,14686,13713,3022,28399,AVLP080,AVLP080_R
5813057579,1790,1633,12287,15647,3423,27934,AVLP538,AVLP538_R
298258513,1042,1369,7562,19384,2411,26946,SMP108,SMP108_R
859839499,1462,1160,11505,14690,2622,26195,AVLP532,AVLP532_R
950880008,1514,1264,10312,15731,2778,26043,AVLP079,AVLP079_R
518930199,707,1837,6409,19492,2544,25901,MBON35,MBON35(y2)_R
485934965,1997,1179,16854,8632,3176,25486,oviIN,oviIN_L
1321564092,1424,1573,11509,13871,2997,25380,AVLP001,AVLP001_R
635062078,1088,443,17462,6686,1531,24148,DP1m_adPN,DP1m_adPN_R
5901213440,816,872,6139,17995,1688,24134,CRE011,CRE011_R
5813022424,1180,1646,11904,12197,2826,24101,PPL103,PPL103(y2a'1)_R
422725634,860,1161,4211,19595,2021,23806,MBON06,MBON06(B1>a)(AVM07)_L
1640909284,385,354,12206,10857,739,23063,lLN2F_b,lLN2F_b(Full)_R
5813024698,406,355,11826,10710,761,22536,lLN2F_b,lLN2F_b(Full)_R
1321305370,712,558,5646,16802,1270,22448,PVLP061,PVLP061_R
